Go.	Gå!
I was home.	Jeg var hjemme.
I work out.	Jeg træner.
I work out.	Jeg motionerer.
I work out.	Jeg dyrker motion.
I'm a hero.	Jeg er en helt.
I'm a twin.	Jeg er en tvilling.
I'm better.	Jeg er bedre.
I'm buying.	Jeg køber.
I'm coming.	Jeg kommer.
I'm eating.	Jeg er ved at spise.
I'm eating.	Jeg spiser.
I'm eating.	Jeg sidder og spiser.
I'm hungry!	Jeg er sulten!
I'm hungry.	Jeg er sulten.
I'm hungry.	Jeg er sulten!
I'm so fat.	Jeg er så tyk.
I'm thirty.	Jeg er tredive.
I'm twelve.	Jeg er tolv.
Is Tom shy?	Er Tom genert?
Is it blue?	Er den blå?
Is it blue?	Er det blåt?
Is it free?	Er den gratis?
Is it free?	Er det gratis?
It is cold.	Det er koldt.
It's my CD.	Det er min cd.
It's water.	Det er vand.
Let me see.	Lad mig se.
Never mind!	Blæse være med det!
Never mind!	Bryd dig ikke om det!
No kidding?	Er det rigtigt?
No kidding?	Er det sandt?
Quiet down.	Tag det roligt!
Say please.	Sig: "Bed om."
She is old.	Hun er gammel.
She smiled.	Hun smilede.
She smiled.	Hun smilte.
Sing along.	Syng med!
Stop lying.	Hold op med at lyve.
Take a nap.	Tag en lur.
Take cover!	Søg dækning!
Take cover!	Gå i dækning!
Taste this.	Smag dette.
Tom danced.	Tom dansede.
Tom phoned.	Tom telefonerede.
Tom phoned.	Tom har ringet.
Tom phoned.	Tom ringede.
Tom saw me.	Tom så mig.
Tom talked.	Tom talte.
Tom waited.	Tom ventede.
Tom walked.	Tom spadserede.
Tom walked.	Tom gik.
Tom walked.	Tom gik til fods.
Tom's dead.	Tom er død.
Tom's here.	Tom er her.
Tom's sick.	Tom er syg.
Wait a bit.	Vent lidt.
We are men.	Vi er mænd.
We saw Tom.	Vi så Tom.
What a day!	Sikke en dag!
What is it?	Hvad er det?
Who did it?	Hvem har gjort det?
Who did it?	Hvem gjorde det?
Who is Tom?	Hvem er Tom?
Wood burns.	Træ brænder.
You decide.	Du bestemmer.
You're old.	Du er gammel.
You're old.	I er gamle.
All is well.	Alt er godt.
Are you mad?	Er du gal?
Can we help?	Kan vi hjælpe?
Clean it up.	Gør det rent.
Do it again!	Gør det igen!
Do it again.	Gør det igen.
Do you fish?	Fisker du?
Don't do it.	Gør det ikke.
Don't leave.	Gå ikke.
Don't shoot!	Skyd ikke!
Don't shoot.	Skyd ikke!
Don't worry.	Gør dig ingen bekymringer.
Flip a coin.	Slå plat eller krone.
Forgive Tom.	Tilgiv Tom!
Get started.	Kom i gang!
Get started.	Kom ud af starthullerne!
Get started.	Kom i sving!
Have we met?	Kender vi hinanden?
He can swim.	Han kan svømme.
He helps us.	Han hjælper os.
He is drunk.	Han er fuld.
He is lying.	Han lyver.
He's strong.	Han er stærk.
Help me out.	Hjælp mig.
Help me out.	Kom mig til hjælp.
How are you?	Hvordan har du det?
How strange!	Hvor mærkeligt!
I am a monk.	Jeg er en munk.
I am a monk.	Jeg er munk.
I am a twin.	Jeg er en tvilling.
I am better.	Jeg er bedre.
I am coming.	Jeg kommer.
I am eating.	Jeg er ved at spise.
I am eating.	Jeg spiser.
I am eating.	Jeg sidder og spiser.
I confessed.	Jeg tilstod.
I confessed.	Jeg skriftede.
I got angry.	Jeg blev vred.
I hate sand.	Jeg hader sand.
I have wine.	Jeg har vin.
I like dogs.	Jeg kan lide hunde.
I like jazz.	Jeg kan lide jazz.
I live here.	Jeg bor her.
I live here.	Jeg lever her.
I lost face.	Jeg har tabt ansigt.
I love beef.	Jeg elsker oksekød.
I love rock.	Jeg elsker rock.
I never win.	Jeg vinder aldrig.
I saved you.	Jeg har reddet dig.
I saved you.	Jeg har reddet jer.
I saw a UFO.	Jeg så en ufo.
I saw a dog.	Jeg så en hund.
I trust him.	Jeg stoler på ham.
I was bored.	Jeg kedede mig.
I was lucky.	Jeg var heldig.
I was lying.	Jeg løj.
I was lying.	Jeg lå.
I was tired.	Jeg var træt.
I went home.	Jeg gik hjem.
I won again.	Jeg vandt igen.
I work here.	Jeg arbejder her.
I'll go now.	Jeg går nu.
I'm a child.	Jeg er et barn.
I'm a nurse.	Jeg er en sygeplejerske.
I'm a nurse.	Jeg er sygeplejerske.
I'm a woman.	Jeg er en kvinde.
I'm a woman.	Jeg er kvinde.
I'm at home.	Jeg er hjemme.
I'm curious.	Jeg er nysgerrig.
I'm jealous.	Jeg er jaloux.
I'm married.	Jeg er gift.
I'm not Tom.	Jeg er ikke Tom.
I'm not old.	Jeg er ikke gammel.
I'm psychic.	Jeg er synsk.
I'm thirsty.	Jeg er tørstig.
Is Tom here?	Er Tom her?
Is it yours?	Er det din?
Is it yours?	Er det jeres?
It can't be!	Umuligt!
It is there.	Den er der.
It was dark.	Det var mørkt.
It's Monday.	Det er mandag.
It's a joke.	Det er en joke.
It's a pity.	Det er en skam.
It's boring.	Det her er kedeligt.
It's simple.	Det er simpelt.
Let me help.	Lad mig hjælpe til.
Let's begin.	Lad os begynde.
Let's begin.	Lad os gå i gang.
Let's go in.	Lad os gå ind.
Lunch is on.	Frokosten er klar.
Nobody lied.	Ingen løj.
Send Tom up.	Send Tom op.
She's a dog.	Hun er en grimrian.
She's a fox.	Hun er en sild.
Take a bite.	Tag en bid!
Take a look.	Tag et kig.
Take a seat.	Sid ned!
Take a seat.	Sæt jer!
Take a seat.	Tag plads!
Take a walk.	Gå en tur.
Take it all.	Tag det hele.
Take my car.	Tag min bil.
That's cool.	Det er cool.
That's free.	Det er gratis.
That's true.	Det er sandt.
The TV's on.	Tv'et er tændt.
The TV's on.	Fjernsynet er tændt.
They smiled.	De smilede.
They smiled.	De smilte.
Tom blushed.	Tom rødmede.
Tom is cool.	Tom er cool.
Tom is dead.	Tom er død.
Tom is poor.	Thomas er fattig.
Tom is sick.	Tom er syg.
Tom is tall.	Tom er høj.
Tom is vain.	Tom er indbildsk.
Tom laughed.	Tom lo.
Tom mumbled.	Tom mumlede.
Tom said no.	Tom sagde nej.
Tom teaches.	Tom underviser.
Tom was big.	Tom var stor.
Tom'll call.	Tom vil ringe.
Tom's alive.	Tom er i live.
Tom's alone.	Tom er alene.
We are boys.	Vi er drenge.
We hate Tom.	Vi hader Tom.
We just met.	Vi har lige mødt hinanden.
We know you.	Vi kender dig.
We know you.	Vi kender jer.
We like him.	Vi kan lide ham.
We're clean.	Vi er rene.
We're tired.	Vi er trætte.
What a pity!	Sikke en skam!
What is art?	Hvad er kunst?
What's that?	Hvad er det?
Where is he?	Hvor er han?
Where's Tom?	Hvor er Tom?
Who are you?	Hvem er du?
Write to me.	Skriv til mig!
Yes, I know.	Ja, jeg ved det.
You are big.	Du er stor.
You know me.	Du kender mig.
You're here.	Du er her!
You're lazy.	Du er doven.
You're lazy.	I er dovne.
You're sick!	Du er syg!
You're sick.	Du er syg!
Are you busy?	Er du optaget?
Are you lost?	Er du faret vild?
Are you nuts?	Er du skør?
Are you sure?	Er du sikker?
Be merciless.	Vær skånselsløs!
Can Tom sing?	Kan Tom synge?
Can you swim?	Kan du svømme?
Come on, Tom.	Kom nu, Tom!
Deal with it.	Affind dig med det.
Deal with it.	Tag dig af det!
Did Tom call?	Har Tom ringet?
Do you smoke?	Ryger du?
Do your best!	Gør dit bedste!
Do your best!	Gør det så godt du kan!
Do your duty.	Gør dit arbejde.
Find the cat.	Find katten.
Give me time.	Giv mig tid.
Go away, Tom.	Gå væk, Tom!
Go for broke!	Giv den hele armen!
Go for broke!	Sæt alt på ét bræt!
Go to school.	Gå i skole!
Good evening.	Godaften!
Good morning.	Godmorgen!
Happy Easter!	God påske!
Happy Easter!	Glædelig påske!
Have a drink.	Tag en drink.
He denied it.	Han benægtede det.
He has a car.	Han har bil.
He has a car.	Han har en bil.
He has a dog.	Han har en hund.
He is eating.	Han er ved at spise.
He is eating.	Han spiser.
He loves you.	Han elsker dig.
He must come.	Han skal komme.
He's a goner.	Han er en færdig mand.
Here you are.	Værsgo.
How dare you!	Hvor vover du!
How horrible!	Hvor skrækkeligt!
How horrible!	Hvor forfærdeligt!
How horrible!	Det er forfærdeligt.
How horrible!	Det er skrækkeligt.
How horrible!	Hvor er det forfærdeligt.
How's school?	Hvordan går det i skolen?
I am Chinese.	Jeg er en kineser.
I am a nurse.	Jeg er en sygeplejerske.
I am a nurse.	Jeg er sygeplejerske.
I am a widow.	Jeg er enke.
I am a woman.	Jeg er en kvinde.
I am a woman.	Jeg er kvinde.
I am at home.	Jeg er hjemme.
I am curious.	Jeg er nysgerrig.
I am married.	Jeg er gift.
I ate apples.	Jeg spiste æbler.
I can't help.	Jeg kan ikke hjælpe.
I can't sing.	Jeg kan ikke synge.
I don't know.	Jeg ved ikke.
I don't know.	Jeg ved det ikke.
I don't read.	Jeg læser ikke.
I eat cheese.	Jeg spiser ost.
I have a cat.	Jeg har en kat.
I have a dog.	Jeg har en hund.
I have a pen.	Jeg har en kuglepen.
I have to go.	Jeg er nødt til at gå.
I hugged her.	Jeg omfavnede hende.
I like sugar.	Jeg elsker sukker.
I live alone.	Jeg bor alene.
I love books.	Jeg elsker bøger.
I love money.	Jeg elsker penge.
I need a saw.	Jeg har brug for en sav.
I never lose.	Jeg taber aldrig.
I never swim.	Jeg svømmer aldrig.
I often read.	Jeg læser ofte.
I see a lion.	Jeg ser en løve.
I see a rose.	Jeg ser en rose.
I see a star.	Jeg ser en stjerne.
I understand.	Jeg forstår.
I want to go.	Jeg ønsker at gå.
I was hungry.	Jeg var sulten.
I wonder why.	Jeg gad vide hvorfor.
I'll be late.	Jeg kommer for sent.
I'll get one.	Jeg vil hente en.
I'll get one.	Jeg henter en.
I'll pay you.	Jeg vil betale dig.
I'm Canadian.	Jeg er canadisk.
I'm a mother.	Jeg er mor.
I'm a mother.	Jeg er en mor.
I'm dyslexic.	Jeg er ordblind.
I'm finished.	Jeg er færdig.
I'm freezing.	Jeg fryser.
I'm in a jam.	Jeg sidder fast i en trafikprop.
I'm not bald.	Jeg er ikke skaldet.
I'm not sure.	Jeg er ikke sikker.
I'm not well.	Jeg har det skidt.
I'm pregnant.	Jeg er gravid.
I'm the best.	Jeg er den bedste.
Is Tom lying?	Lyver Tom?
It is a book.	Det er en bog.
It was black.	Den var sort.
It was black.	Det var sort.
It'll be hot.	Det bliver varmt.
It's bedtime.	Det er sengetid.
It's for Tom.	Det er til Tom.
It's for Tom.	Den er til Tom.
It's hailing.	Det hagler.
It's raining.	Det regner.
It's snowing.	Det sner.
It's too big.	Den er for stor.
It's too big.	Det er for stort.
It's too hot.	Det er for varmt.
It's unusual.	Det er usædvanligt.
Let me do it.	Lad mig!
Let me do it.	Lad mig gøre det.
Let me think.	Lad mig tænke.
Let's try it.	Lad os prøve!
Mary is tall.	Maria er høj.
Men are pigs.	Mænd er svin.
My eyes hurt.	Mine øjne gør ondt.
Nobody knows.	Ingen ved det.
Now I get it.	Nu forstår jeg.
See you soon!	Vi ses!
Shame on you!	Skam dig!
She helps us.	Hun hjælper os.
She is a fox.	Hun er en sild.
She knows me.	Hun kender mig.
Show me that.	Vis mig det.
Stop smoking.	Stop med at ryge.
Stop staring.	Hold op med at stirre.
Stop the car.	Stands bilen.
Take a break.	Tag en pause.
Take my hand.	Tag min hånd.
That was fun.	Det var sjovt.
That's crazy.	Det er vanvittigt.
That's my CD.	Det er min cd.
That's right!	Det er rigtigt!
They help us.	De hjælper os.
They know me.	De kender mig.
They love it.	De elsker det.
They love us.	De elsker os.
This is free.	Det er gratis.
This is ours.	Dette er vores.
Tom got beat.	Tom blev tæsket.
Tom got home.	Tom kom hjem.
Tom hates it.	Tom hader det.
Tom hates me.	Tom hader mig.
Tom is a vet.	Tom er veteran.
Tom is a vet.	Tom er dyrlæge.
Tom is alive.	Tom er i live.
Tom is alone.	Tom er alene.
Tom is clean.	Tom er ren.
Tom is drunk.	Tom er beruset.
Tom is drunk.	Tom er fuld.
Tom is quiet.	Tom er stille.
Tom is short.	Tom er kort.
Tom is wrong.	Tom tager fejl.
Tom listened.	Tom lyttede.
Tom needs me.	Tom har brug for mig.
Tom panicked.	Der gik panik i Tom.
Tom ran away.	Tom løb væk.
Tom saw Mary.	Tom så Mary.
Tom stole it.	Tom stjal det.
Tom was home.	Tom var hjemme.
Tom was nosy.	Tom var nysgerrig.
Tom was weak.	Tom var svag.
Tom's afraid.	Tom er bange.
Tom's crying.	Tom græder.
Tom's eating.	Tom spiser.
Tom's eating.	Tom er ved at spise.
Tom's eating.	Tom sidder og spiser.
Tom's scared.	Tom er bange.
Tom's stoned.	Tom er høj.
Tom's stoned.	Tom er skæv.
Tom's stoned.	Tom er stenet.
Try the cake.	Smag på kagen.
We are Arabs.	Vi er arabere.
We got ready.	Vi blev klar.
We have rice.	Vi har ris.
We have wine.	Vi har vin.
We're at war.	Vi er i krig.
What a nerve!	Hvor frækt!
What a nerve!	Hvor uforskammet!
What a shame!	Sikke en skam!
What is love?	Hvad er kærlighed?
What is this?	Hvad er det?
What's wrong?	Hvad er der galt?
Where is Tom?	Hvor er Tom?
Why not both?	Hvorfor ikke begge?
Why not both?	Hvorfor ikke begge to?
You are rude.	Du er uhøflig.
You know her.	Du kender hende.
You're cruel.	Du er grusom.
You're fired.	Du er fyret.
You're fired.	Du er fyret!
You're lying!	Du lyver!
You're naive.	Du er naiv.
You're right.	Du har ret.
Am I safe now?	Er jeg i sikkerhed nu?
Are they tall?	Er de høje?
Are you alive?	Er du i live?
Are you alone?	Er du alene?
Are you awake?	Er du vågen?
Are you blind?	Er du blind?
Are you crazy?	Er du gal?
Are you crazy?	Er du skør?
Are you drunk?	Er De fuld?
Are you drunk?	Er du fuld?
Are you tired?	Er du træt?
Are you tired?	Er I trætte?
Be a good boy.	Vær en god dreng!
Beat the eggs.	Slå æggene ud.
Call for help.	Ring efter hjælp.
Call me later.	Ring til mig senere.
Can you drive?	Kan du køre bil?
Did I do that?	Gjorde jeg det der?
Do I look fat?	Ser jeg tyk ud?
Do cats dream?	Drømmer katte?
Do it quickly.	Gør det hurtigt.
Does this fit?	Passer den her?
Dogs can swim.	Hunde kan svømme.
Don't be rude.	Vær ikke uforskammet.
Don't deny it.	Benægt det ikke.
Don't do this.	Gør ikke dette.
Don't respond.	Lad være at reagere!
Draw a circle.	Tegn en cirkel.
Flowers bloom.	Blomster blomstrer.
Give me a hug.	Giv mig et knus!
Give me a hug.	Giv mig et kram!
Guess who won.	Gæt hvem der vandt.
He can't swim.	Han kan ikke svømme.
He hugged her.	Han omfavnede hende.
He is a thief.	Han er en tyv.
He is no fool.	Han er ikke tabt bag af en vogn.
He is reading.	Han læser.
He is skating.	Han skøjter.
He lied to me.	Han løj overfor mig.
He lied to me.	Han løj over for mig.
He sells cars.	Han sælger biler.
He's autistic.	Han er autistisk.
He's studying.	Han studerer.
Here or to go?	Spise her eller tage med hjem?
His nose bled.	Hans næse blødte.
Hold the rope.	Hold rebet.
How bad is it?	Hvor skidt er det?
How bad is it?	Hvor dårligt er det?
How beautiful!	Hvor smukt!
How can it be?	Hvordan kan det være?
How do you do?	Hvordan har du det?
How old is he?	Hvor gammel er han?
I am American.	Jeg er amerikaner.
I am a Muslim.	Jeg er muslim.
I am all ears.	Jeg er lutter øren.
I am coughing.	Jeg hoster.
I am coughing.	Jeg er i gang med at hoste.
I am not sure.	Jeg er ikke sikker.
I am studying.	Jeg studerer.
I can see Tom.	Jeg kan se Tom.
I can't dance.	Jeg kan ikke danse.
I can't smoke.	Jeg kan ikke ryge.
I did nothing.	Jeg gjorde ingenting.
I do like you.	Jeg kan så godt lide dig.
I exaggerated.	Jeg overdrev.
I feel guilty.	Jeg føler mig skyldig.
I feel stupid.	Jeg føler mig dum.
I hate French.	Jeg hader fransk.
I hate school.	Jeg hader skolen.
I hate winter.	Jeg hader vinteren.
I have a book.	Jeg har en bog.
I have an egg.	Jeg har et æg.
I have to try.	Jeg er nødt til at gøre et forsøg.
I just got up.	Jeg er lige stået op.
I like French.	Jeg kan lide fransk.
I like apples.	Jeg kan godt lide æbler.
I like horses.	Jeg holder af heste.
I like spring.	Jeg holder af foråret.
I like sweets.	Jeg kan lide slik.
I live nearby.	Jeg bor i nærheden.
I love France.	Jeg elsker Frankrig.
I love French.	Jeg elsker fransk.
I love apples.	Jeg elsker æbler.
I love horses.	Jeg elsker heste.
I love my cat.	Jeg elsker min kat.
I love my dad.	Jeg elsker min far.
I love my mom.	Jeg elsker min mor.
I love nature.	Jeg elsker naturen.
I love poetry.	Jeg elsker poesi.
I miss Boston.	Jeg savner Boston.
I miss my cat.	Jeg savner min kat.
I miss my mom.	Jeg savner min mor.
I need a loan.	Jeg har brug for et lån.
I never cheat.	Jeg snyder aldrig.
I never drink.	Jeg drikker aldrig.
I own a yacht.	Jeg ejer en yacht.
I own a yacht.	Jeg ejer en lystyacht.
I play tennis.	Jeg spiller tennis.
I read a book.	Jeg læste en bog.
I saw Tom die.	Jeg så Tom dø.
I see a queen.	Jeg ser en dronning.
I want a pony.	Jeg vil have en pony.
I want to win.	Jeg ønsker at vinde.
I was at home.	Jeg var hjemme.
I wish I knew.	Bare jeg vidste!
I'll call him.	Jeg vil ringe til ham.
I'll go first.	Jeg vil gå først.
I'll help you.	Jeg vil hjælpe dig.
I'll help you.	Jeg vil hjælpe jer.
I'll prove it.	Jeg vil bevise det.
I'll take him.	Jeg tager ham.
I'm Tom's dad.	Jeg er Toms far.
I'm Tom's mom.	Jeg er Toms mor.
I'm a man now.	Jeg er en mand nu.
I'm a painter.	Jeg er maler.
I'm an orphan.	Jeg er forældreløs.
I'm convinced.	Jeg er overbevist.
I'm exhausted.	Jeg er udmattet.
I'm expecting.	Jeg er gravid.
I'm expecting.	Jeg venter mig.
I'm in my car.	Jeg er i min bil.
I'm no expert.	Jeg er ikke ekspert.
I'm not drunk.	Jeg er ikke fuld.
I'm not drunk.	Jeg er ikke beruset.
I'm on my way.	Jeg er på vej.
I'm so sleepy.	Jeg er så træt.
I'm so sleepy.	Jeg er så søvnig.
I'm the coach.	Jer er træneren.
I'm too drunk.	Jeg er for fuld.
I'm very lazy.	Jeg er meget doven.
Is Tom coming?	Kommer Tom?
Is it working?	Virker det?
Is that a cat?	Er det en kat?
It had snowed.	Det havde sneet.
It hurts here.	Det gør ondt her.
It is raining.	Det regner.
It is snowing.	Det sner.
It is too hot.	Det er for varmt.
It takes time.	Det tager tid.
It's a secret.	Det er en hemmelighed.
It's freezing.	Det er hundekoldt.
It's homemade.	Den er hjemmelavet.
It's homemade.	Det er hjemmelavet.
It's my horse.	Det er min hest.
It's my money.	Det er mine penge.
Just a minute.	Kun et minut.
Just a minute.	Lige et øjeblik!
Just a minute.	Vent lidt!
Just a minute.	Et lille øjeblik!
Just a minute.	Undskyld mig et øjeblik!
Keep it clean.	Hold det rent.
Lock the door!	Lås døren!
Lock the door.	Lås døren.
Love is blind.	Kærligheden er blind.
Mary is a fox.	Mary er en sild.
May I go home?	Må jeg gå hjem?
Mom's working.	Mor arbejder.
No, thank you.	Nej tak.
Now listen up.	Hør nu efter!
OK, listen up.	OK, hør efter!
Open the door.	Åbn døren.
Open the door.	Åbn døren!
Open the gate.	Åbn porten!
Pick a weapon.	Vælg et våben!
Russia is big.	Rusland er stort.
See you again.	Vi ses!
See you later.	Vi ses.
Send it to me.	Send det til mig.
She felt blue.	Hun var nedtrykt.
She felt blue.	Hun var deprimeret.
She hates him.	Hun hader ham.
She is a twin.	Hun er tvilling.
She is crying.	Hun græder.
She is eating.	Hun spiser.
She is eating.	Hun er ved at spise.
She likes him.	Hun kan lide ham.
She loves Tom.	Hun elsker Tom.
She loves him.	Hun elsker ham.
She's dieting.	Hun er på diæt.
Show yourself.	Vis dig selv.
Shut the door.	Luk døren!
Speak clearly.	Tal tydeligt.
Take a chance.	Tag chancen!
Take a cookie.	Tag en småkage.
That's enough.	Det er nok.
That's my car.	Det er min bil.
That's my cat.	Det er min kat.
The fuse blew.	Sikringen gik.
The fuse blew.	Sikringen sprang.
These are new.	Disse er nye.
These are new.	De her er nye.
They built it.	De byggede det.
They built it.	De har bygget det.
They canceled.	De aflyste.
They said yes.	De sagde ja.
They're armed.	De er bevæbnet.
They're armed.	De er bevæbnede.
They're twins.	De er tvillinger.
This is a DVD.	Dette er en dvd.
This is a dog.	Dette er en hund.
This is my CD.	Dette er min cd.
Tom has a car.	Tom har en bil.
Tom has plans.	Tom har planer.
